일자,범위
1,느 10:1-39
2,느 11:1-36
3,느 12:1-26
4,느 12:27-47
5,느 13:1-14
6,느 13:15-31
7,시편 137
8,시 138
9,시 139:1-12
10,시 139:13-24
11,시 140
12,시 141
13,시 142
14,시 143
15,시 144
16,시 145
17,시 146
18,시 147
19,유다서 1:1-16
20,유 1:17-25
21,미가 1:1-16
22,미 2:1-13
23,미 3:1-12
24,미 4:1-13
25,미 5:1-15
26,미 6:1-16
27,미 7:1-13
28,미 7:14-20
29,시편 148
30,시 149
31,시 150 
