일자,범위
1,에스라 1:1-11
2,스 2:1-70
3,스 3:1-13
4,스 4:1-10
5,스 4:11-24
6,스 5:1-17
7,스 6:1-12
8,스 6:13-22
9,스 7:1-10
10,스 7:11-28
11,스 8:1-20
12,스 8:21-36
13,스 9:1-8
14,스 9:9-15
15,스 10:1-8
16,스 10:9-44
17,학개 1:1-15
18,학 2:1-9
19,학 2:10-23
20,느헤미야 1:1-11
21,느 2:1-20
22,느 3:1-32
23,느 4:1-23
24,느 5:1-19
25,느 6:1-14
26,느 6:15-7:4
27,느 7:5-73
28,느 8:1-18
29,느 9:1-22
30,느 9:23-38 
